timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
9.456624,0.600598,0.759721,-9.560523,0.032681,-0.089339,-0.036652
9.464877,0.571885,0.762114,-9.543773,0.034361,-0.090103,-0.037110
9.473068,0.571885,0.762114,-9.543773,0.036805,-0.093768,-0.036652
9.481404,0.593420,0.754936,-9.505488,0.036805,-0.093768,-0.032834
9.489835,0.571885,0.745364,-9.519845,0.032834,-0.088728,-0.032834
9.498156,0.583849,0.766900,-9.561719,0.039401,-0.102320,-0.036346
9.506413,0.591027,0.739382,-9.497113,0.038790,-0.102167,-0.036805
9.514641,0.602991,0.757328,-9.503095,0.036805,-0.097280,-0.035125
9.522953,0.602991,0.757328,-9.503095,0.029322,-0.086285,-0.031001
9.531167,0.583849,0.751346,-9.555737,0.029322,-0.086285,-0.036805
9.540131,0.583849,0.745364,-9.521041,0.034208,-0.093004,-0.036805
9.548380,0.577867,0.750150,-9.537791,0.034972,-0.093157,-0.036194
9.556688,0.604188,0.744168,-9.524630,0.034361,-0.093462,-0.037874
9.564976,0.588634,0.768096,-9.566505,0.036805,-0.095142,-0.036041
9.573169,0.588634,0.768096,-9.560523,0.034208,-0.088270,-0.035125
9.581581,0.568295,0.756132,-9.560523,0.034208,-0.089186,-0.032681
9.590505,0.563510,0.740579,-9.501899,0.033139,-0.089186,-0.032681
9.599060,0.589831,0.766900,-9.528220,0.035583,-0.094837,-0.035125
9.607472,0.601795,0.759721,-9.493524,0.029932,-0.085979,-0.034514
9.615786,0.589831,0.768096,-9.586844,0.035888,-0.091935,-0.038637
9.624173,0.573081,0.747757,-9.524630,0.028863,-0.077733,-0.035277
9.632434,0.573081,0.747757,-9.524630,0.032223,-0.084910,-0.036194
9.641173,0.589831,0.751346,-9.527023,0.032223,-0.084910,-0.033139
9.649479,0.582652,0.769292,-9.580862,0.030391,-0.083994,-0.033139
9.657812,0.598206,0.776471,-9.534202,0.027642,-0.076816,-0.031001
9.666102,0.592224,0.781257,-9.556933,0.031460,-0.084758,-0.034819
9.675002,0.612563,0.748953,-9.547362,0.033903,-0.088575,-0.034819
9.683340,0.612563,0.769292,-9.533005,0.034514,-0.089492,-0.033903
9.691837,0.588634,0.769292,-9.533005,0.030085,-0.083078,-0.030085
9.700128,0.579063,0.740579,-9.513863,0.030085,-0.083078,-0.030085
9.708415,0.585045,0.753739,-9.574880,0.035125,-0.095753,-0.034972
9.716628,0.613759,0.752543,-9.522238,0.037874,-0.098502,-0.038485
9.724982,0.558724,0.748953,-9.495916,0.036805,-0.098044,-0.035277
9.733457,0.583849,0.740579,-9.576076,0.034514,-0.095295,-0.033139
9.742188,0.583849,0.740579,-9.576076,0.034208,-0.092546,-0.033750
9.750601,0.586242,0.738186,-9.542577,0.034208,-0.092546,-0.033750
9.758864,0.614955,0.728614,-9.546166,0.033139,-0.091630,-0.030696
9.767297,0.620937,0.751346,-9.535398,0.033750,-0.090866,-0.031154
9.775597,0.613759,0.752543,-9.531809,0.033903,-0.093768,-0.032834
9.784001,0.599402,0.752543,-9.533005,0.034361,-0.096364,-0.034667
9.792452,0.599402,0.752543,-9.533005,0.035125,-0.096975,-0.034667
9.800731,0.575474,0.757328,-9.553344,0.035125,-0.096975,-0.036957
9.809069,0.577867,0.782453,-9.561719,0.040012,-0.102473,-0.036957
9.817315,0.575474,0.772882,-9.522238,0.032834,-0.091630,-0.035125
9.825666,0.594616,0.775275,-9.535398,0.033445,-0.088117,-0.035277
9.833926,0.588634,0.756132,-9.543773,0.037415,-0.092393,-0.037110
9.842641,0.588634,0.756132,-9.537791,0.036652,-0.090561,-0.036957
9.851036,0.601795,0.780060,-9.537791,0.036652,-0.088575,-0.034667
9.859227,0.582652,0.745364,-9.501899,0.034361,-0.088575,-0.034667
9.867687,0.563510,0.772882,-9.537791,0.037110,-0.094073,-0.034667
9.875892,0.592224,0.762114,-9.530612,0.036499,-0.097433,-0.030849
9.884151,0.595813,0.748953,-9.534202,0.036499,-0.096822,-0.029627
9.893130,0.611366,0.741775,-9.571290,0.036041,-0.098349,-0.030238
9.901376,0.611366,0.741775,-9.571290,0.036041,-0.096517,-0.034514
9.910085,0.581456,0.739382,-9.541380,0.036041,-0.096517,-0.034514
9.918365,0.593420,0.753739,-9.504291,0.038485,-0.099418,-0.039554
9.925949,0.579063,0.757328,-9.471988,0.038332,-0.095600,-0.043677
9.933545,0.592224,0.748953,-9.547362,0.031765,-0.082925,-0.041233
9.941232,0.592224,0.748953,-9.547362,0.031765,-0.082925,-0.039095
9.948941,0.562313,0.757328,-9.528220,0.031154,-0.082925,-0.039095
9.956454,0.576670,0.745364,-9.530612,0.031154,-0.085521,-0.036652
9.963920,0.575474,0.750150,-9.511470,0.035736,-0.096059,-0.035125
9.971553,0.575474,0.750150,-9.511470,0.034667,-0.097128,-0.031765
9.979020,0.568295,0.759721,-9.585647,0.034667,-0.097128,-0.031765
9.986632,0.589831,0.774078,-9.540184,0.034208,-0.093615,-0.031307
9.994390,0.571885,0.777667,-9.536594,0.037721,-0.099113,-0.037263
10.009744,0.586242,0.805185,-9.519845,0.037263,-0.094379,-0.038637
10.022180,0.568295,0.783649,-9.519845,0.034056,-0.086285,-0.040164
10.033282,0.568295,0.762114,-9.538987,0.038637,-0.094226,-0.042608
10.043885,0.586242,0.769292,-9.553344,0.041844,-0.101098,-0.040470
10.052653,0.586242,0.742971,-9.549755,0.038790,-0.098349,-0.032987
10.061795,0.583849,0.742971,-9.549755,0.036194,-0.098349,-0.031154
12.072665,0.591027,0.770489,-9.533005,0.035125,-0.088575,-0.038790
12.077293,0.591027,0.770489,-9.533005,0.035125,-0.088575,-0.038790
12.082095,0.583849,0.772882,-9.553344,0.034514,-0.090561,-0.040470
12.086889,0.583849,0.772882,-9.553344,0.034514,-0.090561,-0.040470
12.091375,0.586242,0.762114,-9.533005,0.036805,-0.090408,-0.041081
